worker,time,row,term,objective,answer
1,24,196,lull,0,Anticipation
2,5,196,lull,0,Sadness
3,5,196,lull,0,Anticipation
4,61,196,lull,0,Joy
5,12,196,lull,0,Surprise
6,7,196,lull,0,Trust
7,15,196,lull,0,Trust
8,18,196,lull,0,Trust
9,7,196,lull,0,Sadness
10,5,196,lull,0,Anticipation
3,5,38,incestuous,0,Disgust
6,5,38,incestuous,0,Disgust
1,21,38,incestuous,0,Anticipation
8,27,38,incestuous,0,Trust
10,4,38,incestuous,0,Disgust
11,11,38,incestuous,0,Disgust
12,8,38,incestuous,0,Disgust
9,4,38,incestuous,0,Disgust
13,30,38,incestuous,0,Disgust
14,4,38,incestuous,0,Disgust
8,26,423,stillness,0,Trust
2,6,423,stillness,0,Anticipation
15,4,423,stillness,0,Anticipation
1,33,423,stillness,0,Joy
16,9,423,stillness,0,Trust
3,8,423,stillness,0,Anticipation
10,9,423,stillness,0,Anticipation
6,4,423,stillness,0,Sadness
13,35,423,stillness,0,Trust
4,17,423,stillness,0,Anticipation
4,19,250,repress,0,Sadness
17,39,250,repress,0,Fear
1,33,250,repress,0,Joy
13,25,250,repress,0,Trust
8,27,250,repress,0,Fear
10,9,250,repress,0,Anger
6,10,250,repress,0,Sadness
9,5,250,repress,0,Disgust
18,8,250,repress,0,Anger
19,37,250,repress,0,Trust
7,23,230,aggravating,0,Surprise
15,16,230,aggravating,0,Sadness
4,8,230,aggravating,0,Anger
3,5,230,aggravating,0,Anger
9,4,230,aggravating,0,Anger
8,18,230,aggravating,0,Anger
6,4,230,aggravating,0,Anger
1,36,230,aggravating,0,Anger
13,21,230,aggravating,0,Anger
2,5,230,aggravating,0,Anger
8,8,564,career,0,Trust
20,5,564,career,0,Anticipation
1,22,564,career,0,Joy
21,6,564,career,0,Joy
18,15,564,career,0,Trust
6,11,564,career,0,Anticipation
3,4,564,career,0,Anticipation
4,27,564,career,0,Trust
10,5,564,career,0,Trust
7,34,564,career,0,Fear
5,20,109,grit,0,Anger
19,42,109,grit,0,Trust
10,5,109,grit,0,Trust
6,21,109,grit,0,Trust
1,20,109,grit,0,Anticipation
18,15,109,grit,0,Anger
2,8,109,grit,0,Anger
13,50,109,grit,0,Fear
15,7,109,grit,0,Trust
3,8,109,grit,0,Anger
8,45,113,libel,0,Disgust
15,7,113,libel,0,Anger
7,29,113,libel,0,Anticipation
14,5,113,libel,0,Disgust
16,8,113,libel,0,Anger
1,36,113,libel,0,Joy
6,10,113,libel,0,Anger
4,20,113,libel,0,Fear
11,9,113,libel,0,Fear
3,5,113,libel,0,Anger
7,14,134,timidity,0,Anticipation
4,17,134,timidity,0,Anger
3,5,134,timidity,0,Fear
6,4,134,timidity,0,Fear
13,27,134,timidity,0,Sadness
10,8,134,timidity,0,Fear
8,12,134,timidity,0,Fear
22,12,134,timidity,0,Fear
1,34,134,timidity,0,Disgust
19,11,134,timidity,0,Sadness
18,10,82,illumination,0,Joy
1,26,82,illumination,0,Anger
13,45,82,illumination,0,Disgust
10,5,82,illumination,0,Joy
6,4,82,illumination,0,Anticipation
3,9,82,illumination,0,Surprise
16,4,82,illumination,0,Joy
4,29,82,illumination,0,Surprise
8,16,82,illumination,0,Disgust
20,7,82,illumination,0,Anticipation
3,6,173,helpful,0,Trust
9,4,173,helpful,0,Trust
6,5,173,helpful,0,Joy
23,4,173,helpful,0,Trust
1,20,173,helpful,0,Trust
7,21,173,helpful,0,Trust
21,11,173,helpful,0,Joy
8,56,173,helpful,0,Trust
4,17,173,helpful,0,Joy
18,16,173,helpful,0,Trust
11,27,471,loon,0,Sadness
16,5,471,loon,0,Fear
10,11,471,loon,0,Surprise
4,35,471,loon,0,Disgust
13,19,471,loon,0,Anger
1,21,471,loon,0,Anticipation
6,8,471,loon,0,Surprise
14,7,471,loon,0,Surprise
7,9,471,loon,0,Joy
9,5,471,loon,0,Disgust
6,4,427,reliance,0,Trust
24,21,427,reliance,0,Trust
25,11,427,reliance,0,Trust
16,5,427,reliance,0,Trust
11,9,427,reliance,0,Trust
9,5,427,reliance,0,Trust
4,6,427,reliance,0,Joy
13,33,427,reliance,0,Joy
3,4,427,reliance,0,Trust
1,23,427,reliance,0,Trust
9,5,12,planning,0,Anticipation
11,10,12,planning,0,Anticipation
14,4,12,planning,0,Anticipation
