worker,time,row,term,objective,answer
1,24,400,crisp,0,Surprise
2,51,400,crisp,0,Trust
3,11,400,crisp,0,Trust
4,8,400,crisp,0,Trust
5,29,400,crisp,0,Fear
6,4,400,crisp,0,Fear
7,10,400,crisp,0,Joy
8,50,400,crisp,0,Joy
9,12,400,crisp,0,Anticipation
10,8,400,crisp,0,Anticipation
10,8,401,blindly,0,Fear
11,4,401,blindly,0,Sadness
9,12,401,blindly,0,Fear
12,10,401,blindly,0,Surprise
13,21,401,blindly,0,Trust
1,8,401,blindly,0,Trust
4,8,401,blindly,0,Trust
14,16,401,blindly,0,Fear
7,12,401,blindly,0,Trust
8,43,401,blindly,0,Anger
11,7,402,unattractive,0,Sadness
1,12,402,unattractive,0,Disgust
8,38,402,unattractive,0,Sadness
2,28,402,unattractive,0,Disgust
9,9,402,unattractive,0,Sadness
7,13,402,unattractive,0,Disgust
15,14,402,unattractive,0,Disgust
5,44,402,unattractive,0,Sadness
16,31,402,unattractive,0,Disgust
4,16,402,unattractive,0,Sadness
1,10,0,surprising,surprise,Surprise
17,6,0,surprising,surprise,Surprise
18,5,0,surprising,surprise,Surprise
19,44,0,surprising,surprise,Surprise
12,10,0,surprising,surprise,Surprise
11,8,0,surprising,surprise,Surprise
7,15,0,surprising,surprise,Surprise
9,8,0,surprising,surprise,Surprise
8,23,0,surprising,surprise,Surprise
2,17,0,surprising,surprise,Surprise
14,6,403,withstand,0,Trust
8,17,403,withstand,0,Joy
20,4,403,withstand,0,Trust
7,24,403,withstand,0,Trust
1,18,403,withstand,0,Trust
11,5,403,withstand,0,Trust
13,23,403,withstand,0,Anticipation
21,5,403,withstand,0,Anticipation
12,20,403,withstand,0,Anticipation
10,7,403,withstand,0,Anticipation
14,6,1,fiesta,0,Joy
11,3,1,fiesta,0,Joy
19,5,1,fiesta,0,Joy
4,35,1,fiesta,0,Surprise
2,28,1,fiesta,0,Joy
7,30,1,fiesta,0,Joy
1,8,1,fiesta,0,Joy
8,47,1,fiesta,0,Sadness
22,6,1,fiesta,0,Joy
23,75,1,fiesta,0,Joy
7,15,404,anticipating,anticipation,Anticipation
24,7,404,anticipating,anticipation,Anticipation
9,8,404,anticipating,anticipation,Anticipation
5,48,404,anticipating,anticipation,Anticipation
11,4,404,anticipating,anticipation,Anticipation
1,8,404,anticipating,anticipation,Anticipation
18,5,404,anticipating,anticipation,Anticipation
8,42,404,anticipating,anticipation,Anticipation
25,9,404,anticipating,anticipation,Anticipation
2,98,404,anticipating,anticipation,Anticipation
23,48,2,feared,fear,Fear
11,4,2,feared,fear,Fear
18,5,2,feared,fear,Fear
2,7,2,feared,fear,Fear
26,6,2,feared,fear,Fear
10,4,2,feared,fear,Fear
7,6,2,feared,fear,Fear
27,6,2,feared,fear,Fear
8,18,2,feared,fear,Fear
9,7,2,feared,fear,Fear
28,17,405,airport,0,Anticipation
8,20,405,airport,0,Joy
7,16,405,airport,0,Anticipation
12,33,405,airport,0,Trust
9,10,405,airport,0,Anticipation
23,78,405,airport,0,Surprise
2,18,405,airport,0,Joy
11,6,405,airport,0,Trust
10,7,405,airport,0,Anticipation
25,14,405,airport,0,Trust
12,17,3,decry,0,Anger
11,6,3,decry,0,Sadness
4,17,3,decry,0,Disgust
5,22,3,decry,0,Disgust
8,22,3,decry,0,Trust
7,27,3,decry,0,Disgust
2,35,3,decry,0,Anger
9,11,3,decry,0,Fear
16,46,3,decry,0,Fear
1,15,3,decry,0,Anger
29,14,4,aggravated,0,Disgust
11,4,4,aggravated,0,Anger
8,18,4,aggravated,0,Anticipation
7,32,4,aggravated,0,Anger
30,4,4,aggravated,0,Anger
1,12,4,aggravated,0,Anger
19,7,4,aggravated,0,Anger
25,69,4,aggravated,0,Fear
5,17,4,aggravated,0,Disgust
12,11,4,aggravated,0,Anger
1,18,5,inaugural,0,Anticipation
11,6,5,inaugural,0,Anticipation
14,7,5,inaugural,0,Anticipation
8,19,5,inaugural,0,Joy
2,26,5,inaugural,0,Joy
5,39,5,inaugural,0,Trust
12,11,5,inaugural,0,Anticipation
9,13,5,inaugural,0,Surprise
7,17,5,inaugural,0,Joy
23,74,5,inaugural,0,Joy
25,23,200,beauty,0,Joy
1,9,200,beauty,0,Joy
10,4,200,beauty,0,Joy
31,7,200,beauty,0,Joy
11,5,200,beauty,0,Joy
32,8,200,beauty,0,Joy
20,11,200,beauty,0,Joy
7,16,200,beauty,0,Joy
8,21,200,beauty,0,Joy
5,28,200,beauty,0,Joy
30,4,406,scoff,0,Disgust
11,5,406,scoff,0,Disgust
7,23,406,scoff,0,Disgust
8,22,406,scoff,0,Joy
20,8,406,scoff,0,Disgust
14,7,406,scoff,0,Anger
1,9,406,scoff,0,Anger
4,12,406,scoff,0,Disgust
12,48,406,scoff,0,Anger
10,5,406,scoff,0,Anger
10,4,201,disgusted,disgust,Disgust
8,25,201,disgusted,disgust,Disgust
17,7,201,disgusted,disgust,Disgust
2,10,201,disgusted,disgust,Disgust
31,10,201,disgusted,disgust,Disgust
30,4,201,disgusted,disgust,Disgust
18,6,201,disgusted,disgust,Disgust
23,26,201,disgusted,disgust,Disgust
7,9,201,disgusted,disgust,Disgust
5,37,201,disgusted,disgust,Disgust
9,25,407,obstacle,0,Fear
23,54,407,obstacle,0,Sadness
2,31,407,obstacle,0,Fear
1,19,407,obstacle,0,Anger
5,58,407,obstacle,0,Sadness
25,24,407,obstacle,0,Sadness
11,5,407,obstacle,0,Anger
7,15,407,obstacle,0,Sadness
10,8,407,obstacle,0,Fear
8,20,407,obstacle,0,Sadness
23,62,6,chairwoman,0,Trust
9,38,6,chairwoman,0,Anticipation
5,42,6,chairwoman,0,Joy
8,21,6,chairwoman,0,Trust
1,40,6,chairwoman,0,Trust
25,28,6,chairwoman,0,Joy
30,4,6,chairwoman,0,Trust
2,33,6,chairwoman,0,Joy
4,8,6,chairwoman,0,Trust
7,14,6,chairwoman,0,Trust
8,23,202,sadly,sadness,Sadness
12,14,202,sadly,sadness,Sadness
10,4,202,sadly,sadness,Sadness
33,3,202,sadly,sadness,Sadness
5,26,202,sadly,sadness,Sadness
18,6,202,sadly,sadness,Sadness
7,7,202,sadly,sadness,Sadness
11,4,202,sadly,sadness,Sadness
2,8,202,sadly,sadness,Sadness
22,5,202,sadly,sadness,Sadness
8,25,408,spat,0,Joy
12,9,408,spat,0,Anger
4,30,408,spat,0,Disgust
2,29,408,spat,0,Anger
23,66,408,spat,0,Anger
9,9,408,spat,0,Sadness
31,14,408,spat,0,Anger
20,10,408,spat,0,Anger
1,8,408,spat,0,Anger
7,32,408,spat,0,Disgust
16,17,203,trusted,trust,Anticipation
5,22,203,trusted,trust,Trust
30,4,203,trusted,trust,Trust
7,12,203,trusted,trust,Trust
18,7,203,trusted,trust,Trust
8,37,203,trusted,trust,Trust
29,10,203,trusted,trust,Trust
23,33,203,trusted,trust,Trust
3,8,203,trusted,trust,Trust
9,14,203,trusted,trust,Trust
1,11,7,pray,0,Trust
12,11,7,pray,0,Trust
2,20,7,pray,0,Trust
20,5,7,pray,0,Trust
7,16,7,pray,0,Trust
11,4,7,pray,0,Trust
9,14,7,pray,0,Anticipation
23,55,7,pray,0,Trust
8,34,7,pray,0,Joy
25,64,7,pray,0,Anticipation
25,31,409,disparage,0,Trust
5,26,409,disparage,0,Disgust
11,5,409,disparage,0,Disgust
9,17,409,disparage,0,Sadness
8,34,409,disparage,0,Joy
23,45,409,disparage,0,Disgust
20,4,409,disparage,0,Disgust
10,6,409,disparage,0,Anger
7,30,409,disparage,0,Disgust
12,15,409,disparage,0,Anger
7,41,600,vindication,0,Trust
8,20,600,vindication,0,Anticipation
34,6,600,vindication,0,Sadness
11,9,600,vindication,0,Anticipation
3,12,600,vindication,0,Trust
4,12,600,vindication,0,Anticipation
9,15,600,vindication,0,Anger
1,14,600,vindication,0,Joy
22,6,600,vindication,0,Joy
12,12,600,vindication,0,Trust
12,11,8,inseparable,0,Trust
7,9,8,inseparable,0,Trust
31,11,8,inseparable,0,Trust
3,11,8,inseparable,0,Trust
8,19,8,inseparable,0,Fear
1,16,8,inseparable,0,Joy
35,10,8,inseparable,0,Surprise
36,14,8,inseparable,0,Joy
5,71,8,inseparable,0,Anticipation
11,5,8,inseparable,0,Trust
1,22,204,hawk,0,Trust
12,14,204,hawk,0,Trust
9,20,204,hawk,0,Surprise
11,5,204,hawk,0,Fear
2,51,204,hawk,0,Anger
8,55,204,hawk,0,Trust
7,35,204,hawk,0,Fear
4,30,204,hawk,0,Joy
32,12,204,hawk,0,Fear
6,10,204,hawk,0,Anticipation
8,20,410,disgusting,disgust,Disgust
1,10,410,disgusting,disgust,Disgust
4,6,410,disgusting,disgust,Disgust
2,26,410,disgusting,disgust,Disgust
18,5,410,disgusting,disgust,Disgust
7,9,410,disgusting,disgust,Disgust
9,13,410,disgusting,disgust,Disgust
23,60,410,disgusting,disgust,Disgust
11,4,410,disgusting,disgust,Disgust
5,13,410,disgusting,disgust,Disgust
7,14,205,vigilant,0,Anticipation
1,13,205,vigilant,0,Anticipation
12,91,205,vigilant,0,Trust
8,20,205,vigilant,0,Joy
3,12,205,vigilant,0,Joy
2,86,205,vigilant,0,Trust
9,10,205,vigilant,0,Fear
4,43,205,vigilant,0,Anticipation
25,80,205,vigilant,0,Trust
23,59,205,vigilant,0,Trust
